,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,basement_exist,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
2901,5700002460,2014-07-25,675000.0,3,2.5,2550,4954,1.5,4,7,1850,1.0,1924,98144,47.5758,-122.287,1700,4954
2903,2202500110,2014-08-05,430000.0,3,1.5,1690,9708,1.5,5,7,1690,0.0,1954,98006,47.5732,-122.13600000000001,1570,9858
2906,9528101224,2014-10-07,579950.0,3,3.5,1420,1217,2.0,3,8,1180,1.0,2003,98115,47.6827,-122.324,1494,1264
2907,6713100031,2015-02-11,476000.0,3,2.25,1570,7187,1.0,4,8,1170,1.0,1980,98133,47.7604,-122.35600000000001,1660,8775
2910,1310800090,2014-10-07,240000.0,3,1.0,1470,7350,1.0,3,7,1470,0.0,1969,98032,47.3616,-122.286,1720,8050
2914,5700001055,2014-09-15,765000.0,4,1.0,2520,5500,1.5,5,8,1820,1.0,1912,98144,47.5785,-122.292,2350,5000
2916,3812400657,2014-12-04,160000.0,3,1.0,1200,8360,1.0,2,6,1200,0.0,1948,98118,47.5414,-122.281,1570,6823
2917,2725069162,2014-08-15,772000.0,4,2.5,2990,9643,2.0,3,9,2990,0.0,2003,98074,47.6292,-122.024,2990,8666
2919,9521100586,2014-05-24,479000.0,3,1.0,1370,3000,1.5,3,7,1370,0.0,1924,98103,47.6619,-122.351,1510,2151
2920,7215721570,2015-05-05,570000.0,3,2.5,1910,4941,2.0,3,8,1910,0.0,1999,98075,47.5989,-122.016,1910,4941
2921,3834000805,2014-07-10,350000.0,4,1.0,1170,8147,1.5,3,6,1170,0.0,1959,98125,47.7281,-122.289,1260,8147
2926,686200740,2014-10-20,500000.0,4,2.25,2080,8000,1.0,3,8,1390,1.0,1964,98008,47.6264,-122.113,1800,7700
2927,7658600025,2014-07-09,700000.0,3,1.0,1410,7200,2.0,4,6,1410,0.0,1901,98144,47.5924,-122.302,1640,7200
2931,3750603732,2015-01-28,276000.0,3,1.75,2240,9200,1.0,4,7,1440,1.0,1968,98001,47.2635,-122.28399999999999,1740,9600
2938,1494300110,2014-06-03,550000.0,4,2.5,2170,9600,1.0,3,7,1460,1.0,1980,98052,47.6789,-122.116,1940,8400
2940,3512100110,2014-09-02,275436.0,4,2.75,2170,9658,1.5,3,7,2170,0.0,1966,98030,47.3741,-122.189,1490,9731
2943,2768100690,2015-04-23,513000.0,3,1.75,1710,5000,1.0,4,7,1110,1.0,1944,98107,47.6689,-122.37,920,5000
2946,2788400315,2014-09-22,265000.0,3,1.0,1400,9460,1.0,3,7,1060,1.0,1961,98168,47.5119,-122.321,1570,7700
2947,7128300855,2014-10-14,313000.0,4,1.75,1630,3000,1.0,3,7,930,1.0,1978,98144,47.5961,-122.305,1630,3000
2951,5214500690,2014-09-04,438000.0,4,2.5,1970,8545,2.0,3,8,1970,0.0,2004,98059,47.4893,-122.13799999999999,2590,7200
2953,6450302900,2014-10-06,329500.0,3,1.0,1080,5250,1.0,4,7,1080,0.0,1947,98133,47.7309,-122.336,1100,5250
2959,1947300115,2014-06-19,464000.0,3,1.0,1320,3625,2.0,3,7,1320,0.0,1900,98122,47.6049,-122.288,1660,5438
2960,5490700100,2014-12-08,310000.0,3,1.0,1210,7649,1.0,4,7,1210,0.0,1956,98155,47.7693,-122.32,1210,6760
2963,6821102100,2015-03-17,510000.0,2,1.0,810,6480,1.0,5,6,810,0.0,1942,98199,47.6493,-122.398,1920,6000
2970,1036100100,2014-07-02,435000.0,3,2.5,1900,7984,2.0,3,8,1900,0.0,1993,98011,47.7433,-122.194,2650,9352
2973,7276100165,2014-09-16,427000.0,3,2.5,2050,3218,3.0,3,7,2050,0.0,2008,98133,47.7612,-122.344,2050,7200
2976,1193000025,2014-09-03,495000.0,2,1.5,1920,6250,1.0,3,7,1060,1.0,1937,98199,47.6497,-122.39299999999999,2070,6250
2977,2744000100,2014-06-25,299950.0,3,2.5,1870,7942,2.0,3,7,1870,0.0,1990,98001,47.342,-122.279,1870,7392
2979,3679400025,2014-08-12,385000.0,3,1.75,2160,5863,1.5,4,7,1260,1.0,1928,98144,47.5729,-122.315,1590,3000
2987,123039313,2015-04-10,425000.0,4,2.5,1920,9000,2.0,2,7,1920,0.0,1989,98126,47.5153,-122.37,1530,10474
2989,8835220090,2014-08-07,313500.0,3,2.25,1440,3488,2.0,4,7,1440,0.0,1983,98034,47.7257,-122.162,1390,3488
2990,6381501636,2014-08-20,320000.0,3,1.0,1780,6840,2.0,4,6,1780,0.0,1947,98125,47.727,-122.3,1410,7200
2991,1370804446,2015-02-10,604000.0,4,1.75,1490,4485,1.0,3,8,1350,1.0,1960,98199,47.6388,-122.399,1380,4846
2992,9828701871,2015-02-12,570000.0,3,2.0,1400,1657,2.0,3,8,1060,1.0,2004,98112,47.6196,-122.29799999999999,1540,2275
2993,3396200090,2014-05-20,639000.0,4,2.5,2150,12028,2.0,4,8,2150,0.0,1982,98052,47.7224,-122.101,1800,11777
2995,8825900855,2014-10-14,896000.0,4,1.75,2660,3520,2.0,4,8,2080,1.0,1917,98115,47.6743,-122.30799999999999,2100,4080
2996,7147600245,2014-06-27,259500.0,3,1.75,1650,12349,1.0,3,7,1650,0.0,1957,98188,47.442,-122.28200000000001,1470,10763
2998,8732040090,2015-05-06,307450.0,4,2.75,2690,8874,1.0,3,8,1370,1.0,1980,98023,47.3078,-122.383,1990,7875
2999,8082400100,2014-08-25,535000.0,3,1.75,1380,3561,1.0,4,7,860,1.0,1925,98117,47.6822,-122.399,1820,4593
3000,546000930,2014-06-30,669500.0,4,2.25,2500,4046,1.5,4,7,1520,1.0,1940,98117,47.6882,-122.382,1410,4046
3004,8682291730,2014-05-13,530000.0,2,2.0,1680,4950,1.0,3,8,1680,0.0,2006,98053,47.7194,-122.022,1570,4800
3005,5318100504,2014-07-28,524000.0,2,2.0,1450,2272,1.0,4,6,750,1.0,1924,98112,47.633,-122.28200000000001,2170,4370
3008,2212901130,2014-11-03,210000.0,3,1.0,1230,12201,1.0,3,7,1230,0.0,1969,98042,47.3285,-122.134,1230,10780
3010,148000375,2014-06-19,945000.0,2,2.5,2540,7089,2.0,3,9,2540,0.0,2004,98116,47.5747,-122.414,1330,7089
3012,16000015,2015-04-17,219950.0,3,1.5,1070,6601,1.0,3,6,1070,0.0,1985,98002,47.3115,-122.209,1030,6614
3015,3396200300,2015-03-31,540000.0,3,1.75,2110,7129,1.0,3,8,1280,1.0,1982,98052,47.7219,-122.102,1810,8674
3016,2291401425,2014-09-10,485000.0,5,2.0,1910,5508,1.0,3,7,1020,1.0,1968,98133,47.7074,-122.34899999999999,1030,7440
3019,3824100082,2015-04-01,502000.0,3,2.75,2010,11200,1.0,3,8,1360,1.0,1979,98028,47.7728,-122.25299999999999,2200,10640
3022,6647400090,2014-07-02,453000.0,3,2.0,1660,15050,1.0,3,7,1260,1.0,1983,98034,47.7203,-122.194,1660,7320
3023,7387500195,2015-02-27,367000.0,4,1.0,1820,5500,1.5,3,6,1820,0.0,1947,98106,47.5185,-122.363,1140,5500
3024,3342101785,2014-05-23,550000.0,3,2.5,2510,5400,2.0,3,9,2510,0.0,1992,98056,47.5204,-122.206,1840,5400
3028,7745000090,2014-05-09,565000.0,4,2.25,2470,7447,2.0,3,8,2470,0.0,1984,98155,47.7514,-122.286,2270,7400
3030,7888100090,2014-09-25,160000.0,4,1.0,1520,7298,1.5,3,7,1520,0.0,1960,98198,47.3706,-122.31,1520,7298
3032,5083000375,2015-03-19,235000.0,3,1.0,1310,9529,1.0,3,7,1310,0.0,1956,98198,47.4105,-122.295,1330,9529
3034,8143000600,2014-09-18,310000.0,3,1.0,990,7050,1.0,3,7,990,0.0,1967,98034,47.7274,-122.20200000000001,1200,8125
3036,9268200658,2014-06-04,280000.0,2,1.0,960,4920,1.0,3,6,960,0.0,1942,98117,47.6946,-122.36200000000001,1010,5040
3038,1137500090,2014-08-14,763776.0,4,2.5,2750,16139,2.0,3,9,2750,0.0,1989,98075,47.5843,-122.06,2810,13093
3041,7595700025,2014-07-25,430000.0,2,1.0,990,4920,1.0,3,6,990,0.0,1931,98117,47.6939,-122.368,990,4960
3042,4443800110,2014-07-25,456500.0,3,1.0,1290,3880,1.5,4,7,1290,0.0,1919,98117,47.6879,-122.39200000000001,1290,4850
3043,5101405265,2014-09-11,445000.0,4,2.5,2170,5257,2.0,3,7,2170,0.0,1989,98115,47.6999,-122.305,1430,7528
3047,5559200051,2015-01-06,272000.0,4,1.75,2520,10890,1.0,3,7,1260,1.0,1979,98023,47.3224,-122.34299999999999,2090,12375
3048,2826049165,2015-02-26,517000.0,4,1.0,1180,13500,1.5,3,7,1180,0.0,1950,98125,47.7165,-122.30799999999999,1580,8976
3049,2675600028,2015-02-26,615000.0,3,1.75,2660,7800,1.0,4,8,1330,1.0,1951,98117,47.6993,-122.37799999999999,1950,6240
3050,259801110,2014-08-28,439000.0,3,1.75,1250,7030,1.0,3,7,1250,0.0,1965,98008,47.6285,-122.118,1460,7210
3053,2652500015,2014-06-10,800000.0,3,2.25,1620,4500,2.0,4,8,1620,0.0,1926,98119,47.643,-122.361,1210,4320
3055,8092501240,2014-07-01,219950.0,3,1.5,1620,9310,1.0,4,7,1620,0.0,1967,98042,47.3665,-122.10700000000001,1610,10640
3056,9552701030,2014-05-22,770000.0,4,2.5,2350,8001,2.0,4,8,2350,0.0,1987,98006,47.5478,-122.15299999999999,2460,8001
3064,9358001566,2015-02-13,400000.0,2,2.5,1410,1281,2.0,3,8,1090,1.0,2008,98126,47.5659,-122.37,1410,2550
3065,6145600900,2015-05-13,325000.0,2,2.5,1170,1638,2.0,3,8,1170,0.0,2008,98133,47.7041,-122.351,1350,1407
3066,1865000110,2014-09-29,365000.0,4,2.5,2540,6688,2.0,3,9,2540,0.0,2002,98092,47.3314,-122.18,2810,6776
3067,8698100115,2015-04-07,255000.0,3,1.75,2190,6000,1.5,4,7,2190,0.0,1920,98002,47.3063,-122.223,1610,6000
3070,6381500690,2014-07-16,427500.0,3,1.0,1350,7085,1.0,5,7,1350,0.0,1944,98125,47.7318,-122.305,1350,7085
3071,1778500015,2014-10-16,728000.0,3,1.5,1940,4000,1.5,3,8,1310,1.0,1915,98112,47.6205,-122.291,1940,4000
3075,8651401270,2015-05-04,203000.0,3,1.0,840,6500,1.0,5,6,840,0.0,1969,98042,47.3637,-122.083,920,4680
3076,3332500265,2014-08-07,311000.0,2,1.0,860,3300,1.0,5,6,860,0.0,1903,98118,47.5496,-122.279,1380,4400
3079,7663700792,2014-07-24,228000.0,2,1.0,1060,6100,1.0,3,6,1060,0.0,1951,98125,47.7317,-122.296,1550,9150
3080,2919702235,2014-05-28,740000.0,2,1.75,2080,4800,1.0,5,7,1080,1.0,1923,98117,47.6896,-122.36200000000001,1310,4800
3083,8864000735,2014-07-09,275000.0,4,2.0,2030,8426,2.0,3,7,2030,0.0,1944,98168,47.4806,-122.287,1190,7007
3084,1193000115,2015-04-29,708000.0,2,1.0,1120,5250,1.0,3,7,950,1.0,1938,98199,47.6496,-122.39200000000001,1510,5250
3086,7885801460,2015-01-06,325000.0,4,2.5,2260,5702,2.0,3,8,2260,0.0,2002,98042,47.3488,-122.15100000000001,2450,6381
3088,8900000110,2014-09-22,691000.0,2,2.0,1780,3810,1.5,3,7,980,1.0,1922,98119,47.6474,-122.36200000000001,1690,3810
3091,9264950940,2014-08-05,348000.0,3,2.5,2060,7458,2.0,3,9,2060,0.0,1989,98023,47.3045,-122.351,2480,7743
3096,2599001240,2014-05-27,200000.0,4,2.5,1720,9600,1.0,3,7,1120,1.0,1961,98092,47.2917,-122.18799999999999,1520,9400
3097,5360200054,2014-10-02,247500.0,3,2.0,1530,8749,1.0,3,7,1530,0.0,1995,98023,47.2974,-122.37200000000001,1750,8749
3099,84000245,2014-11-20,190000.0,3,1.75,1100,9452,1.0,3,6,1100,0.0,1942,98146,47.4864,-122.337,1350,9452
3100,5605000590,2014-12-15,975000.0,4,2.5,3020,4950,1.5,4,9,2020,1.0,1921,98112,47.6467,-122.304,2300,5450
3103,7308900490,2014-07-14,650000.0,3,2.5,2540,8073,1.0,4,8,1880,1.0,1937,98177,47.7176,-122.36,2110,7702
3104,2222900082,2014-05-13,449500.0,3,2.0,1770,6610,1.0,4,7,960,1.0,1954,98133,47.7703,-122.34299999999999,2010,4361
3105,3574801720,2014-10-22,400000.0,3,1.75,1470,6682,1.0,3,7,1470,0.0,1987,98034,47.7315,-122.226,1790,7379
3107,2641800015,2014-11-24,158800.0,3,1.0,960,8291,1.0,3,6,960,0.0,1950,98146,47.5006,-122.334,1110,8231
3110,5035300750,2014-07-31,850000.0,3,1.75,2450,8603,1.0,5,8,1340,1.0,1940,98199,47.6536,-122.414,2280,5779
3112,9286100300,2014-08-01,483500.0,3,2.5,1670,4308,2.0,3,8,1670,0.0,2001,98027,47.5307,-122.04700000000001,1670,2897
3116,5249802424,2015-04-17,415000.0,2,1.0,670,6000,1.0,5,6,670,0.0,1949,98118,47.56100000000001,-122.275,1240,5040
3117,9209900315,2014-08-11,350000.0,3,1.5,1320,4400,1.0,3,6,1320,0.0,1909,98112,47.6231,-122.292,1350,4400
3120,1023059511,2014-10-20,527000.0,4,2.5,2900,6736,2.0,3,8,2900,0.0,2013,98059,47.4954,-122.152,2900,6736
3121,4109600195,2014-07-18,524000.0,4,2.75,2310,5000,1.5,5,8,1480,1.0,1908,98118,47.5502,-122.26799999999999,1100,5000
3122,5100401468,2014-07-15,448000.0,2,1.0,1110,5413,1.0,3,6,890,1.0,1937,98115,47.6925,-122.32,1300,5413
3129,8127700820,2014-12-11,640000.0,3,2.0,1470,4640,1.5,4,7,1470,0.0,1926,98199,47.6398,-122.39299999999999,1700,5000
3130,9547202265,2015-04-27,990000.0,3,3.25,2460,4182,2.0,5,8,2100,1.0,1910,98115,47.6782,-122.311,2370,4284
3132,1445200110,2015-04-21,275000.0,2,1.5,1160,1103,2.0,3,7,890,1.0,2006,98133,47.7677,-122.315,1160,1086
3133,1023059313,2015-02-05,390000.0,3,2.5,1910,4755,2.0,3,8,1910,0.0,1997,98059,47.4956,-122.162,2460,6099
3135,7550801220,2015-02-27,450000.0,2,1.0,1020,5000,1.5,4,6,1020,0.0,1906,98107,47.6725,-122.396,1490,5000
3136,7518501390,2014-06-17,473000.0,2,1.0,900,5100,1.0,4,7,900,0.0,1909,98117,47.6804,-122.37799999999999,1400,5100
3139,5029450110,2015-03-27,215000.0,3,1.5,1410,8415,1.0,4,7,780,1.0,1982,98023,47.2914,-122.368,1440,7361
3140,7915100490,2014-08-12,589000.0,4,1.75,1920,4862,1.0,5,7,1060,1.0,1919,98116,47.5747,-122.384,1840,4862
3141,114101500,2015-04-17,325000.0,4,1.75,1370,9993,1.0,3,6,1370,0.0,1918,98028,47.7572,-122.228,1650,11592
3142,9274201807,2014-08-20,580000.0,3,2.5,1590,1937,2.5,3,8,1590,0.0,2004,98116,47.5903,-122.38799999999999,1620,2022
3143,7893206095,2014-07-16,181100.0,4,1.75,1850,7500,1.0,3,7,1850,0.0,1954,98198,47.4217,-122.333,1460,7500
3145,5418200245,2015-03-30,781000.0,3,1.75,1940,8729,1.0,3,8,1460,1.0,1960,98125,47.7027,-122.28200000000001,2250,9165
3151,8944750850,2014-05-21,288400.0,3,2.25,1870,3230,2.0,3,7,1870,0.0,1997,98056,47.4915,-122.167,1620,3363
3152,3362400590,2015-02-19,700000.0,4,2.0,2230,4635,1.5,5,7,1510,1.0,1908,98103,47.681999999999995,-122.34899999999999,1520,4635
3156,6116500028,2015-05-03,431000.0,3,1.75,1630,9000,1.0,4,7,1630,0.0,1956,98166,47.4521,-122.36,1600,11120
3162,3824100291,2014-09-16,452250.0,4,2.25,2550,10000,1.0,4,7,1560,1.0,1979,98028,47.77,-122.259,2440,10000
3166,525049085,2014-09-18,575000.0,3,1.75,1720,4050,1.0,5,7,860,1.0,1906,98115,47.6782,-122.314,1720,4410
3169,4024101545,2014-09-22,364000.0,4,2.25,1750,10270,1.5,4,8,1750,0.0,1968,98155,47.7612,-122.31,1750,10127
3172,3629800100,2014-10-28,520000.0,3,2.5,2160,4297,2.0,3,9,2160,0.0,1999,98029,47.5476,-122.012,2160,3968
3173,6141100750,2014-10-08,389000.0,3,1.0,1380,6591,1.0,4,7,1380,0.0,1947,98133,47.7164,-122.351,1610,6594
3174,2770605065,2014-11-18,450000.0,2,1.0,1180,6000,1.0,3,7,1180,0.0,1910,98119,47.6531,-122.37299999999999,1600,6000
3175,2517100490,2014-12-05,325000.0,3,2.5,2550,4240,2.0,3,7,2550,0.0,2006,98031,47.3986,-122.169,2550,4240
3178,2329810590,2014-08-06,285000.0,3,2.5,1940,9874,2.0,3,7,1940,0.0,1990,98042,47.3794,-122.113,1860,8875
3179,2768301214,2014-12-11,395000.0,2,1.0,870,3121,1.0,4,7,870,0.0,1923,98107,47.6659,-122.369,1570,1777
3180,1931301105,2014-07-17,440000.0,3,2.0,1550,2401,2.0,3,7,1550,0.0,1996,98103,47.6545,-122.348,1550,3446
3181,3343903640,2015-03-13,249000.0,3,1.75,1400,5648,1.5,5,6,1400,0.0,1917,98056,47.5133,-122.196,2320,9420
3182,8813400245,2015-02-27,635000.0,3,1.75,1210,4400,1.5,4,8,1210,0.0,1930,98105,47.6621,-122.288,2020,3750
3188,2877102670,2014-07-07,555000.0,3,1.5,1740,4200,1.5,4,7,1640,1.0,1920,98117,47.6782,-122.361,1660,3750
3189,5014000100,2014-09-24,537000.0,4,2.0,1720,6413,1.0,4,7,860,1.0,1950,98116,47.5734,-122.395,1280,6413
3190,7399301050,2015-01-27,315000.0,3,1.75,1480,7500,1.0,4,7,1480,0.0,1968,98055,47.4629,-122.18700000000001,1480,7500
3194,1160000115,2015-03-04,401000.0,4,1.75,3010,12523,1.0,3,8,1780,1.0,1952,98125,47.707,-122.316,2040,7560
3195,7893207665,2015-01-28,210000.0,3,1.0,1030,4583,1.0,3,7,1030,0.0,1967,98198,47.4231,-122.329,1730,8023
3198,6788200931,2014-05-20,710000.0,2,1.0,1790,4000,1.0,4,7,1040,1.0,1923,98112,47.6405,-122.301,1310,4000
3202,9278200131,2014-08-04,442000.0,4,1.5,1360,6110,1.0,3,7,1010,1.0,1955,98116,47.5755,-122.396,1520,6110
3205,2594200375,2015-03-30,427500.0,3,1.75,1240,7200,1.0,5,7,1240,0.0,1942,98136,47.5142,-122.389,1640,7200
3207,117000100,2015-03-19,680000.0,3,1.75,1660,5750,1.0,4,7,1080,1.0,1909,98116,47.5843,-122.385,2060,5560
3208,9212900820,2014-08-28,393820.0,2,2.0,1170,8251,1.0,3,7,1170,0.0,1941,98115,47.6873,-122.291,1360,6798
3209,3959400855,2014-08-20,525000.0,4,2.75,2470,7200,1.0,5,7,1350,1.0,1940,98108,47.5631,-122.31700000000001,1500,6000
3210,2028700265,2015-01-15,505000.0,2,1.75,1310,3816,1.0,2,7,1110,1.0,1929,98117,47.678999999999995,-122.368,1510,3816
3214,5416500090,2014-07-24,269000.0,3,2.5,1440,3800,2.0,3,7,1440,0.0,2005,98038,47.3606,-122.039,1890,3819
3217,5335700110,2014-07-25,234000.0,3,1.0,1750,8820,1.0,4,7,1750,0.0,1961,98032,47.3608,-122.29,1400,9600
3222,8082400076,2014-11-18,875000.0,4,2.25,2380,4876,2.0,4,9,2240,1.0,1948,98117,47.6822,-122.4,1780,4559
3223,1310980110,2014-07-17,299000.0,3,2.25,1920,7840,2.0,4,8,1920,0.0,1982,98032,47.3631,-122.27600000000001,2170,7210
3224,2354300740,2015-03-03,551000.0,3,1.0,1580,6000,1.0,5,7,1580,0.0,1947,98027,47.5286,-122.03200000000001,1580,6000
3227,2877102345,2014-10-27,511718.0,2,1.75,1700,5000,1.0,3,6,850,1.0,1915,98117,47.6787,-122.363,1690,5000
3229,9269260100,2014-12-16,475000.0,4,2.25,2680,4673,2.0,3,7,2680,0.0,1999,98011,47.7539,-122.219,2460,4645
3233,7660600131,2014-10-20,374950.0,2,2.25,1240,1172,2.0,3,8,1000,1.0,2008,98144,47.5877,-122.316,1260,1111
3236,6083000037,2014-06-13,230000.0,2,1.0,930,7550,1.0,3,6,930,0.0,1986,98168,47.4866,-122.303,1370,10176
3238,2968801366,2015-02-24,350000.0,3,2.75,1650,5700,2.0,4,7,1650,0.0,1988,98166,47.4563,-122.348,1320,7620
3239,2126059172,2015-05-06,491500.0,3,2.25,1560,12000,1.0,4,7,1110,1.0,1968,98034,47.7256,-122.166,2190,4612
3241,1545805490,2014-10-06,190000.0,3,2.0,1320,7625,1.0,3,7,1320,0.0,1987,98038,47.3635,-122.045,1420,7500
3243,4171200025,2015-03-27,299950.0,3,1.5,1940,8951,1.0,3,7,1300,1.0,1958,98168,47.473,-122.32799999999999,2000,8319
3244,9818700215,2015-03-30,464000.0,5,2.0,2000,3000,1.5,3,6,1200,1.0,1931,98122,47.6028,-122.29799999999999,1330,4000
3246,3900100265,2015-01-29,625000.0,3,1.0,1020,7650,1.0,3,6,1020,0.0,1919,98033,47.6795,-122.20200000000001,1870,5500
3247,1951100110,2015-02-05,240000.0,3,1.75,1630,9450,1.0,4,7,1080,1.0,1977,98032,47.3729,-122.295,1280,9100
3251,2917200645,2015-05-11,575000.0,4,1.75,2020,6200,1.0,4,6,1010,1.0,1948,98133,47.7013,-122.35,1440,4158
3252,6163900501,2014-10-21,418000.0,3,1.75,1530,7238,1.0,3,7,1530,0.0,1959,98155,47.7629,-122.315,1580,7238
3254,2652500300,2014-06-03,1100000.0,4,3.75,2930,3200,1.5,5,9,2130,1.0,1925,98119,47.643,-122.359,1900,4320
3257,9842300485,2015-03-11,380000.0,2,1.0,1040,7372,1.0,5,7,840,1.0,1939,98126,47.5285,-122.37799999999999,1930,5150
3261,9191201790,2014-10-31,556000.0,3,1.75,1590,2500,1.5,4,7,1190,1.0,1908,98105,47.6668,-122.29899999999999,1420,3800
3262,8731902680,2014-11-20,218000.0,3,2.25,1610,7084,1.0,4,8,1280,1.0,1968,98023,47.3146,-122.384,2170,8505
3263,9448300115,2014-12-05,425000.0,4,2.0,1390,4500,1.5,5,7,1390,0.0,1908,98108,47.5552,-122.311,1900,5460
3265,5603700025,2014-10-07,732000.0,4,1.75,2360,11300,1.0,4,9,2360,0.0,1974,98006,47.5728,-122.163,2290,11951
3270,8651500850,2015-03-17,627800.0,4,1.75,2010,12044,1.0,3,9,2010,0.0,1982,98074,47.6446,-122.068,2200,11144
3271,3359500110,2014-06-24,660000.0,2,2.25,2550,6000,2.0,5,7,1860,1.0,1902,98115,47.6739,-122.323,2010,4000
3272,818500490,2014-10-09,153503.0,2,2.5,1240,3649,2.0,3,7,1240,0.0,1986,98003,47.3241,-122.322,1400,3721
3273,3876311390,2015-01-20,456500.0,3,2.25,2090,9163,1.0,3,7,1460,1.0,1975,98034,47.7334,-122.167,1960,7713
3276,9550200265,2014-08-18,625000.0,3,1.0,1240,4080,1.0,3,7,1240,0.0,1925,98103,47.667,-122.333,2060,4080
3283,3356407665,2014-09-24,180000.0,3,1.75,1330,16000,1.0,3,7,1330,0.0,1978,98001,47.28,-122.257,1330,14374
3286,6121000110,2014-06-03,193000.0,3,1.5,1180,9048,1.0,3,7,1180,0.0,1960,98148,47.4327,-122.32799999999999,1460,8942
3288,9417400215,2014-07-31,363000.0,2,1.0,820,4880,1.0,4,6,820,0.0,1925,98136,47.5483,-122.39399999999999,1320,4880
3290,2149800148,2014-05-14,257200.0,3,2.0,1850,8250,1.0,4,7,1150,1.0,1952,98002,47.3066,-122.209,1580,7153
3291,686450490,2014-09-29,555000.0,3,2.0,2240,11250,1.0,3,8,2240,0.0,1968,98008,47.6371,-122.119,2200,12500
3293,104550690,2014-07-25,282000.0,4,2.75,2390,7330,2.0,3,7,2390,0.0,1989,98023,47.3061,-122.359,1980,6735
3294,1995200245,2014-06-06,545000.0,4,2.5,2040,6034,2.0,3,7,2040,0.0,1990,98115,47.6952,-122.323,1380,5986
3296,7409700215,2015-03-13,921500.0,3,1.5,1900,5000,1.5,3,7,1640,1.0,1926,98115,47.6779,-122.294,2090,5000
3297,1337800855,2015-05-12,885000.0,3,1.5,2200,2880,2.0,5,7,1440,1.0,1904,98112,47.6308,-122.31200000000001,2440,4640
3299,8805400090,2014-05-13,289000.0,3,1.0,1090,7315,1.0,5,6,1090,0.0,1981,98056,47.494,-122.165,1090,5800
3303,6893300110,2014-11-13,430000.0,3,2.5,2030,7770,2.0,3,8,2030,0.0,2003,98024,47.5253,-121.93,1360,10782
3305,1938400300,2014-07-08,245000.0,4,2.25,2600,6390,1.0,3,8,1390,1.0,1978,98023,47.3174,-122.366,2110,6700
3306,2877101340,2015-03-18,426000.0,2,1.0,640,2500,1.0,4,6,640,0.0,1918,98117,47.6776,-122.361,1460,4200
3307,6084200100,2014-08-01,400000.0,3,2.5,2120,3742,2.0,3,7,2120,0.0,2006,98059,47.4787,-122.12899999999999,2250,4696
3311,3438500714,2014-05-06,325000.0,4,2.5,1890,6156,1.0,3,7,980,1.0,1980,98106,47.551,-122.35600000000001,1590,6954
3315,3904901450,2014-11-20,445000.0,3,2.25,1850,4050,2.0,4,7,1850,0.0,1985,98029,47.5669,-122.01700000000001,1650,4468
3318,2724200705,2014-12-12,95000.0,2,1.0,800,8550,1.0,3,7,800,0.0,1947,98198,47.4075,-122.294,1490,8550
3319,8122600245,2014-09-25,359000.0,4,1.75,1580,6396,1.0,4,6,790,1.0,1945,98126,47.5378,-122.369,1180,6396
3321,2600300110,2014-12-02,555000.0,4,1.75,2350,6200,1.5,4,7,1410,1.0,1946,98116,47.559,-122.397,1800,6150
3323,4021700025,2014-06-10,569000.0,5,3.0,3670,10583,1.0,5,8,2060,1.0,1952,98155,47.7589,-122.277,2720,13865
3324,2473250850,2014-07-16,318500.0,4,2.0,1780,7350,1.0,5,7,900,1.0,1974,98058,47.4562,-122.15799999999999,1480,7350
3325,9828702310,2014-06-11,487028.0,2,1.5,1295,1093,2.0,3,9,1105,1.0,2007,98112,47.6192,-122.29899999999999,1295,1413
3326,7523700245,2014-10-15,240000.0,3,1.0,1350,7560,1.0,4,7,950,1.0,1959,98032,47.3784,-122.303,1470,7560
3333,8081900011,2014-09-16,835000.0,3,2.0,1570,4625,1.5,5,8,1570,0.0,1927,98117,47.68,-122.399,1760,4625
3336,8078520090,2014-05-14,265000.0,3,2.0,1570,5706,1.0,3,7,1570,0.0,1998,98092,47.3156,-122.18799999999999,1570,5706
3337,6403510090,2014-11-11,437500.0,4,2.5,2680,7513,2.0,3,8,2680,0.0,1998,98059,47.4956,-122.161,2640,7243
3340,7132300042,2014-10-28,247300.0,2,2.0,1140,1118,2.0,3,7,1040,1.0,2009,98144,47.596000000000004,-122.311,1140,1118
3345,5437400100,2015-03-31,675000.0,4,2.5,2370,9679,2.0,3,8,2370,0.0,1984,98027,47.5631,-122.085,2290,7944
3347,6713700100,2014-09-07,401500.0,4,1.0,1790,8400,1.0,4,7,1260,1.0,1954,98133,47.7627,-122.353,1470,8400
3348,339600110,2014-09-23,395000.0,3,2.5,1610,3755,2.0,3,7,1610,0.0,1987,98052,47.6825,-122.09700000000001,1300,3823
3350,6099400053,2014-05-29,145000.0,3,1.0,1010,5490,1.0,3,6,1010,0.0,1954,98168,47.4762,-122.29299999999999,1740,10658
3352,8143000490,2015-01-12,374500.0,3,1.5,1330,8636,1.0,4,7,1330,0.0,1968,98034,47.7289,-122.20299999999999,1370,7475
3353,3260000300,2014-11-18,850000.0,4,2.25,2330,10451,2.0,4,8,2330,0.0,1965,98005,47.6044,-122.16799999999999,1880,8400
3354,5742600090,2015-04-25,490000.0,3,1.0,960,5750,1.0,3,7,960,0.0,1951,98116,47.5689,-122.39299999999999,1520,5750
